accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_c,category
-0.55,-1.99,10.91,-0.15,-0.44,-0.51,22.75,2
-1.25,-3.44,11.04,0.02,-0.06,-0.12,22.75,2
-0.04,-2.38,10.94,0.15,0.09,0.11,22.77,2
-0.65,-1.71,9.8,-0.01,0.34,0.43,22.77,2
-0.46,-0.16,9.63,-0.11,0.4,0.57,22.78,2
-0.65,0.1,8.93,-0.32,0.46,0.6,22.76,2
-1.75,-0.91,8.33,-0.45,0.35,0.63,22.76,2
-1.7,-0.44,7.55,0.03,0.07,0.88,22.77,2
-1.03,1.35,8.25,-0.02,-0.09,0.62,22.77,2
-0.56,1.22,7.62,-0.16,0.11,0.4,22.77,2
-1.49,0.81,7.49,0.06,0.1,-0.08,22.76,2
-1.65,0.6,7.66,-0.02,0.07,-0.46,22.77,2
-2.3,-0.55,8.56,0.08,-0.17,-0.79,22.77,2
-2.49,-1.42,8.54,0.19,-0.22,-0.89,22.77,2
-1.76,-2.15,8.97,0.15,-0.64,-0.82,22.77,2
-0.86,-2.06,9.39,-0.06,-0.53,-0.55,22.77,2
-0.76,-2.41,10.36,-0.09,-0.53,-0.57,22.77,2
-0.79,-3.37,10.92,-0.15,-0.25,-0.47,22.78,2
-0.95,-3.69,10.92,0.15,-0.08,0.04,22.78,2
-0.37,-3.32,10.93,0.31,0.19,0.35,22.78,2
0.27,-2.1,10.5,0.07,0.6,0.73,22.77,2
-0.76,-0.54,8.32,-0.12,0.72,0.97,22.78,2
-1.78,-0.16,7.99,0.07,0.36,0.86,22.76,2
-1.86,0.37,8.77,-0.03,0.22,0.67,22.77,2
-1.92,0.18,7.99,-0.32,-0.07,0.31,22.78,2
-2.33,-0.39,7.75,-0.16,-0.09,0.41,22.78,2
-0.17,1.53,7.23,0.17,-0.03,0.46,22.77,2
-1.61,1.67,7.32,-0.01,0.24,0.18,22.78,2
-1.45,0.22,7.41,-0.39,0.15,-0.49,22.78,2
-2.59,-1.58,8.48,0.06,-0.26,-0.7,22.78,2
-2.7,-1.48,8.99,0.4,-0.41,-0.69,22.77,2
-2.04,-1.23,9.12,0.25,-0.49,-0.65,22.78,2
-0.34,-1.23,9.68,0.17,-0.62,-0.72,22.78,2
-0.18,-1.53,10.11,-0.05,-0.61,-0.53,22.77,2
-0.62,-2.77,11.07,-0.28,-0.21,-0.32,22.78,2
-0.25,-3.11,11.72,0.14,-0.0,-0.07,22.78,2
-0.18,-2.92,10.28,0.23,0.33,0.11,22.78,2
-1.17,-1.85,8.79,0.17,0.51,0.45,22.78,2
-1.33,-0.58,8.75,0.01,0.33,0.52,22.78,2
-2.26,-0.37,9.44,0.12,0.17,0.42,22.77,2
-2.04,-0.06,8.67,0.06,0.07,0.45,22.77,2
-1.32,0.83,8.47,0.04,0.1,0.68,22.77,2
-1.57,1.05,7.94,-0.06,-0.1,0.42,22.76,2
-0.32,1.22,7.93,-0.2,0.0,0.5,22.77,2
-1.26,1.93,7.64,0.08,0.19,0.08,22.77,2
-1.59,1.13,8.08,-0.22,0.12,-0.13,22.77,2
-2.19,-0.36,8.21,0.05,0.04,-0.27,22.77,2
-2.35,0.37,8.78,0.53,-0.3,-0.58,22.78,2
-1.98,1.0,8.67,0.35,-0.17,-0.46,22.77,2
-1.51,-0.16,8.83,0.0,-0.2,-0.41,22.77,2
-0.85,0.12,9.25,0.04,-0.46,-0.2,22.78,2
-0.8,-0.31,9.94,-0.35,-0.27,-0.18,22.77,2
-1.33,-1.36,10.54,-0.35,-0.43,-0.45,22.79,2
-0.95,-3.11,11.48,-0.16,-0.2,-0.22,22.79,2
-2.11,-2.41,10.86,0.14,-0.01,-0.08,22.78,2
-0.46,-1.81,10.06,0.49,0.15,0.07,22.77,2
-0.61,-0.96,8.98,0.13,0.34,0.15,22.77,2
-0.09,-0.11,8.8,0.18,0.22,0.44,22.78,2
-0.97,0.12,8.41,-0.33,0.16,0.03,22.77,2
-1.34,0.08,8.9,-0.29,0.18,0.44,22.77,2
-1.5,-0.45,8.63,-0.29,-0.01,0.3,22.77,2
-0.77,-0.03,8.63,-0.05,0.01,0.53,22.76,2
-0.42,1.24,7.3,-0.13,0.1,0.48,22.77,2
-1.89,0.82,7.49,0.17,0.13,0.2,22.77,2
-2.17,1.17,7.97,0.26,0.07,-0.24,22.78,2
-2.61,0.01,8.46,-0.17,0.03,-0.63,22.77,2
-1.71,-0.4,8.74,0.02,-0.09,-0.75,22.78,2
-1.67,-0.27,8.15,0.27,-0.29,-0.81,22.79,2
-1.66,-0.86,8.68,0.37,-0.48,-0.74,22.78,2
-0.48,-1.09,9.53,0.12,-0.51,-0.55,22.79,2
-0.36,-1.36,9.98,0.04,-0.48,-0.37,22.78,2
-0.47,-1.62,11.04,0.03,-0.49,-0.36,22.79,2
-0.26,-2.99,11.77,0.06,-0.02,-0.0,22.79,2
-0.2,-2.43,10.44,0.09,0.29,0.25,22.79,2
-0.07,-0.82,9.72,0.15,0.42,0.5,22.78,2
